platform,source_kind,original_name,python_distribution,original_version,uv_version
win-64,conda,keyrings.alt,keyrings-alt,5.0.2,5.0.2
win-64,conda,lark,lark,1.3.1,1.3.1
win-64,pypi,libcst,libcst,1.9.0,1.9.0
win-64,pypi,limits,limits,5.8.0,5.8.0
win-64,conda,loguru,loguru,0.7.3,0.7.3
win-64,conda,lupa,lupa,2.8,2.8
win-64,conda,mako,mako,1.3.11,1.3.11
win-64,conda,markdown,markdown,3.10.2,3.10.2
win-64,conda,markdown-it-py,markdown-it-py,4.0.0,4.0.0
win-64,conda,markupsafe,markupsafe,3.0.3,3.0.3
win-64,conda,matplotlib-inline,matplotlib-inline,0.2.1,0.2.1
win-64,pypi,mcp,mcp,1.29.0,1.29.0
win-64,pypi,mdit-py-plugins,mdit-py-plugins,0.6.1,0.6.1
win-64,conda,mdurl,mdurl,0.1.2,0.1.2
win-64,conda,mistune,mistune,3.2.0,3.2.0
win-64,conda,more-itertools,more-itertools,11.0.2,11.0.2
win-64,pypi,mutmut,mutmut,3.7.0,3.7.0
win-64,conda,nbclient,nbclient,0.10.4,0.10.4
win-64,conda,nbconvert-core,nbconvert,7.17.1,7.17.1
win-64,conda,nbformat,nbformat,5.10.4,5.10.4
win-64,conda,nest-asyncio,nest-asyncio,1.6.0,1.6.0
win-64,conda,nodeenv,nodeenv,1.10.0,1.10.0
win-64,pypi,nodejs-wheel-binaries,nodejs-wheel-binaries,24.15.0,24.15.0
win-64,conda,notebook,notebook,7.5.5,7.5.5
win-64,conda,notebook-shim,notebook-shim,0.2.4,0.2.4
win-64,conda,numpy,numpy,2.4.3,2.4.3
win-64,conda,oauthlib,oauthlib,3.3.1,3.3.1
win-64,pypi,openai,openai,2.54.0,2.54.0
win-64,pypi,openai-agents,openai-agents,0.20.0,0.20.0
win-64,conda,opentelemetry-api,opentelemetry-api,1.41.1,1.41.1
win-64,pypi,opentelemetry-exporter-otlp-proto-common,opentelemetry-exporter-otlp-proto-common,1.41.1,1.41.1
win-64,pypi,opentelemetry-exporter-otlp-proto-http,opentelemetry-exporter-otlp-proto-http,1.41.1,1.41.1
win-64,conda,opentelemetry-exporter-prometheus,opentelemetry-exporter-prometheus,0.62b0,not in runtime graph
win-64,conda,opentelemetry-instrumentation,opentelemetry-instrumentation,0.62b1,not in runtime graph
win-64,pypi,opentelemetry-proto,opentelemetry-proto,1.41.1,1.41.1
win-64,conda,opentelemetry-sdk,opentelemetry-sdk,1.41.1,1.41.1
win-64,conda,opentelemetry-semantic-conventions,opentelemetry-semantic-conventions,0.62b1,0.62b1
win-64,conda,orjson,orjson,3.11.8,3.11.8
win-64,pypi,osqp,osqp,1.1.3,1.1.3
win-64,conda,overrides,overrides,7.7.0,not in runtime graph
win-64,conda,packaging,packaging,25.0,25.0
win-64,conda,pandocfilters,pandocfilters,1.5.0,1.5.0
win-64,conda,paramiko,paramiko,4.0.0,not in runtime graph
win-64,conda,parso,parso,0.8.6,0.8.6
win-64,conda,pathspec,pathspec,1.1.1,1.1.1
win-64,conda,pendulum,pendulum,3.2.0,not in runtime graph
win-64,conda,platformdirs,platformdirs,4.9.6,4.9.6
win-64,conda,pluggy,pluggy,1.6.0,1.6.0
win-64,conda,polars,polars,1.40.0,1.40.0
win-64,conda,polars-runtime-32,polars-runtime-32,1.40.0,1.40.0
win-64,conda,pre-commit,pre-commit,4.6.0,4.6.0
win-64,conda,prefect,prefect,3.6.24,3.6.24
win-64,conda,prometheus_client,prometheus-client,0.25.0,0.25.0
win-64,conda,prompt-toolkit,prompt-toolkit,3.0.52,3.0.52
win-64,pypi,protobuf,protobuf,6.33.6,6.33.6
win-64,conda,psutil,psutil,7.2.2,7.2.2
win-64,conda,pure_eval,pure-eval,0.2.3,0.2.3
win-64,conda,py-key-value-aio,py-key-value-aio,0.4.4,0.4.4
win-64,conda,pycparser,pycparser,2.22,2.22
win-64,conda,pydantic,pydantic,2.13.3,2.13.3
win-64,conda,pydantic-core,pydantic-core,2.46.3,2.46.3
win-64,conda,pydantic-extra-types,pydantic-extra-types,2.11.2,2.11.2
win-64,conda,pydantic-settings,pydantic-settings,2.14.0,2.14.0
win-64,conda,pydocket,pydocket,0.19.2,0.19.2
win-64,conda,pygments,pygments,2.20.0,2.20.0
win-64,conda,pyjwt,pyjwt,2.12.1,2.12.1
win-64,conda,pynacl,pynacl,1.6.2,not in runtime graph
win-64,pypi,pyrate-limiter,pyrate-limiter,4.5.0,4.5.0
win-64,conda,pysocks,pysocks,1.7.1,not in runtime graph
win-64,conda,pytest,pytest,9.0.3,9.0.3
win-64,conda,pytest-asyncio,pytest-asyncio,1.3.0,1.3.0
win-64,conda,pytest-cov,pytest-cov,7.1.0,7.1.0
win-64,conda,pytest-mock,pytest-mock,3.15.1,3.15.1
win-64,conda,pytest-timeout,pytest-timeout,2.4.0,2.4.0
win-64,conda,pytest-xdist,pytest-xdist,3.8.0,3.8.0
win-64,conda,python-dateutil,python-dateutil,2.9.0.post0,2.9.0.post0
win-64,conda,python-discovery,python-discovery,1.2.2,1.2.2
win-64,conda,python-dotenv,python-dotenv,1.2.2,1.2.2
win-64,conda,python-json-logger,python-json-logger,3.2.1,3.2.1
win-64,conda,python-multipart,python-multipart,0.0.27,0.0.27
win-64,conda,python-slugify,python-slugify,8.0.4,8.0.4
win-64,conda,pytz,pytz,2026.1.post1,2026.1.post1
win-64,conda,pywin32,pywin32,311,311
win-64,pypi,pywin32-ctypes,pywin32-ctypes,0.2.3,0.2.3
win-64,conda,pywinpty,pywinpty,2.0.15,2.0.15
win-64,conda,pyyaml,pyyaml,6.0.3,6.0.3
win-64,pypi,pyyaml-ft,pyyaml-ft,8.0.0,8.0.0
win-64,conda,pyzmq,pyzmq,27.1.0,27.1.0
win-64,pypi,qdldl,qdldl,0.1.9.post1,0.1.9.post1
win-64,conda,readchar,readchar,4.2.2,4.2.2
win-64,conda,redis-py,redis,7.4.0,7.4.0
win-64,conda,referencing,referencing,0.37.0,0.37.0
win-64,conda,regex,regex,2026.4.4,2026.4.4
win-64,conda,requests,requests,2.33.1,2.33.1
win-64,conda,requests-oauthlib,requests-oauthlib,2.0.0,2.0.0
win-64,conda,respx,respx,0.23.1,0.23.1
win-64,conda,rfc3339-validator,rfc3339-validator,0.1.4,0.1.4
win-64,conda,rfc3986-validator,rfc3986-validator,0.1.1,0.1.1
win-64,conda,rfc3987-syntax,rfc3987-syntax,1.1.0,1.1.0
win-64,conda,rich,rich,14.3.4,14.3.4
win-64,conda,rich-rst,rich-rst,1.3.2,1.3.2
win-64,conda,rich-toolkit,rich-toolkit,0.19.7,not in runtime graph
win-64,conda,rpds-py,rpds-py,0.30.0,0.30.0
win-64,conda,ruamel.yaml,ruamel-yaml,0.19.1,0.19.1
win-64,conda,ruamel.yaml.clib,ruamel-yaml-clib,0.2.15,0.2.15
win-64,conda,ruff,ruff,0.15.11,0.15.11
win-64,pypi,schemathesis,schemathesis,4.25.2,4.25.2
win-64,pypi,scipy,scipy,1.18.0,1.18.0
win-64,pypi,scs,scs,3.2.11,3.2.11
win-64,conda,semver,semver,3.0.4,3.0.4
win-64,conda,send2trash,send2trash,2.1.0,2.1.0
win-64,pypi,setproctitle,setproctitle,1.3.7,1.3.7
win-64,conda,setuptools,setuptools,82.0.1,82.0.1
win-64,conda,shellingham,shellingham,1.5.4,1.5.4
win-64,conda,six,six,1.17.0,1.17.0
win-64,conda,sniffio,sniffio,1.3.1,1.3.1
win-64,pypi,socksio,socksio,1.0.0,1.0.0
win-64,conda,sortedcontainers,sortedcontainers,2.4.0,2.4.0
win-64,conda,soupsieve,soupsieve,2.8.3,2.8.3
win-64,pypi,sparsediffpy,sparsediffpy,0.3.0,0.3.0
win-64,conda,sqlalchemy,sqlalchemy,2.0.49,2.0.49
win-64,pypi,sse-starlette,sse-starlette,3.4.8,3.4.8
win-64,conda,stack_data,stack-data,0.6.3,0.6.3
win-64,conda,starlette,starlette,1.0.0,1.0.0
win-64,pypi,starlette-testclient,starlette-testclient,0.4.1,0.4.1
win-64,pypi,tenacity,tenacity,9.1.4,9.1.4
win-64,conda,terminado,terminado,0.18.1,0.18.1
win-64,conda,text-unidecode,text-unidecode,1.3,1.3
win-64,pypi,textual,textual,8.2.8,8.2.8
win-64,conda,time-machine,time-machine,2.19.0,not in runtime graph
win-64,conda,tinycss2,tinycss2,1.4.0,1.4.0
win-64,conda,toml,toml,0.10.2,0.10.2
win-64,conda,tomli,tomli,2.4.1,not in runtime graph
win-64,conda,tornado,tornado,6.5.5,6.5.5
win-64,pypi,tqdm,tqdm,4.70.0,4.70.0
win-64,conda,traitlets,traitlets,5.14.3,5.14.3
win-64,conda,typer,typer,0.27.1,0.27.1
win-64,conda,types-python-dateutil,types-python-dateutil,2.9.0.20260408,2.9.0.20260408
win-64,conda,types-pyyaml,types-pyyaml,6.0.12.20260408,6.0.12.20260408
win-64,conda,typing_extensions,typing-extensions,4.15.0,4.15.0
win-64,conda,typing-inspection,typing-inspection,0.4.2,0.4.2
win-64,conda,typing_utils,typing-utils,0.1.0,not in runtime graph
win-64,conda,python-tzdata,tzdata,2026.2,2026.2
win-64,conda,tzlocal,tzlocal,5.3.1,5.3.1
win-64,conda,ukkonen,ukkonen,1.1.0,not in runtime graph
win-64,conda,uncalled-for,uncalled-for,0.3.1,0.3.1
win-64,conda,uri-template,uri-template,1.3.0,1.3.0
win-64,conda,urllib3,urllib3,2.6.3,2.6.3
win-64,conda,uvicorn,uvicorn,0.46.0,0.46.0
win-64,conda,virtualenv,virtualenv,21.3.0,21.3.0
win-64,conda,watchfiles,watchfiles,1.1.1,not in runtime graph
win-64,conda,wcwidth,wcwidth,0.6.0,0.6.0
win-64,conda,webcolors,webcolors,25.10.0,25.10.0
win-64,conda,webencodings,webencodings,0.5.1,0.5.1
win-64,conda,websocket-client,websocket-client,1.9.0,1.9.0
win-64,conda,websockets,websockets,16.0,16.0
win-64,pypi,werkzeug,werkzeug,3.1.8,3.1.8
win-64,conda,whenever,whenever,0.9.5,0.9.5
win-64,conda,widgetsnbextension,widgetsnbextension,4.0.15,4.0.15
win-64,conda,win_inet_pton,win-inet-pton,1.1.0,not in runtime graph
win-64,conda,win32_setctime,win32-setctime,1.2.0,1.2.0
win-64,conda,wrapt,wrapt,2.1.2,2.1.2
win-64,pypi,xxhash,xxhash,3.7.0,3.7.0
win-64,conda,zipp,zipp,3.23.1,3.23.1
