old	new	ref
419867409ffcfc861b1c52db97c67bed61be0f97	60994c962ce4ee755f741304b1585c1f199c0b56	refs/heads/agent/frontend-quality-convergence
2593269743f2e07b7817e75724339059e0d95ebd	d3f5054e7d1562bf4bad035cdf82c05396f9ff16	refs/heads/codex/r2-data-product-design
8764b653895cc190efdba1457f02027ce052cf17	bece1918a90a652c581c3c7bfd590a27af73b061	refs/heads/codex/roadmap-completion
2f6f08d94522a3162f3c10dfa1f26bb0ef087bf0	c35fac279a3febd1a73045ec342d7690a21cc6cf	refs/heads/feat/prototype-three-zone-architecture
c436dea24b8a17d1c143e1ee79f44ccbb0267dce	6070d3f43da3bb7b02731ba8543ca8e1deb1ffe5	refs/heads/feat/r3-research-wiring
c4d0170bdc19daa815debf37f75711581df9a8a4	36d6150d9fb96b7085771dbb6473c32781810678	refs/heads/feat/wave1-backend-wiring
5814cddf676e3fafca28e391132c36ee3420961a	6f91371ea6a01c3a81a49900e93b471fc6f79862	refs/heads/feature/r1-trading-live
ee8c701b1218213004af6b440ccd71df97803e88	175743a4a63cbc78aa9d9a761b90aae544092991	refs/heads/main
